Y,X1,X2,X3
28988050,161,650,277
41005176,757,61,888
145818960,328,609,730
166724572,868,401,479
57462840,228,930,271
333107775,935,609,585
57414784,461,448,278
111526184,484,302,763
25840430,370,907,77
2036848,568,22,163
91911996,324,451,629
8579640,426,53,380
11173976,328,163,209
37034280,530,647,108
42863436,539,188,423
18635400,986,21,900
388270056,548,898,789
181194000,920,303,650
64026864,264,498,487
119483502,397,618,487
2313070,739,626,5
29279460,690,49,866
41381424,366,673,168
24872496,102,652,374
393303040,640,988,622
120767920,689,280,626
315136800,865,552,660
74533770,855,174,501
3359384,239,251,56
35978637,519,383,181
125583552,789,192,829
727093510,979,754,985
50062320,504,258,385
20150920,73,412,670
37370010,885,982,43
64980000,722,360,250
102507328,671,217,704
42699776,784,64,851
38243385,185,309,669
1842540,287,10,642
39863460,156,745,343
116954928,542,444,486
42928704,702,672,91
22691286,999,554,41
141064870,590,373,641
41399550,985,467,90
8914800,114,184,425
488062260,772,669,945
159853594,617,562,461
26561920,98,308,880
113838417,757,693,217
44775000,995,200,225
56145825,223,373,675
12533396,94,409,326
1558404,593,146,18
40602276,717,117,484
223589646,687,738,441
99595560,984,155,653
73721900,350,482,437
52577770,170,391,791
113546377,851,389,343
47320000,250,520,364
120511300,533,850,266
380708328,924,598,689
325042578,343,981,966
192882816,603,833,384
103804248,358,876,331
24728880,58,570,748
60865728,736,537,154
36164700,180,281,715
251227266,771,382,853
196933464,468,466,903
44516682,87,651,786
5711422,173,34,971
1918800,6,390,820
114792465,859,295,453
16097136,709,48,473
247600220,854,367,790
251659200,416,925,654
89158076,262,763,446
11313840,24,590,799
106859616,606,214,824
311612280,508,889,690
178258628,937,478,398
19160757,387,643,77
21990314,109,677,298
7475325,255,65,451
7335024,204,202,178
243964600,440,865,641
67535832,578,156,749
423575797,943,503,893
540260,34,454,35
204456140,538,427,890
10192600,451,565,40
12586788,516,141,173
240638244,924,271,961
5914560,606,40,244
117895176,237,588,846
84417480,964,278,315
271285776,472,666,863
440787000,842,750,698
183197040,923,240,827
113401600,290,520,752
89753664,467,704,273
287423541,807,681,523
184559190,870,307,691
606448500,980,669,925
60030750,94,975,655
62966160,405,158,984
151599360,485,352,888
36645994,913,122,329
2622528,314,464,18
729362907,923,791,999
527853,701,753,1
341194752,768,692,642
4112800,424,970,10
347434711,989,443,793
128890827,681,211,897
27978912,611,96,477
44861040,129,966,360
246779640,333,955,776
371445360,685,869,624
24409452,151,228,709
227535480,918,810,306
9140568,571,69,232
649546920,979,776,855
1670504,463,328,11
252947632,758,826,404
498820680,730,703,972
3708096,89,434,96
196407120,897,805,272
9456117,451,29,723
300723192,648,861,539
108817280,410,572,464
86940712,796,194,563
31724680,338,95,988
15393876,114,631,214
40571505,933,65,669
88683840,280,664,477
170283276,426,477,838
835834555,883,985,961
38599392,312,788,157
137361000,633,875,248
4523904,36,748,168
519920,194,5,536
31895775,829,513,75
70865145,271,447,585
43970880,978,160,281
145537560,483,360,837
82286100,900,541,169
3986840,164,65,374
95756436,878,657,166
7740927,81,227,421
570760370,755,862,877
204982440,754,591,460
286731900,378,975,778
2278467,383,661,9
649490,607,107,10
54038952,341,213,744
11068032,148,656,114
69099030,845,462,177
222427296,984,546,414
66064635,221,657,455
26676333,383,71,981
17036987,199,181,473
391563900,900,637,683
91108800,114,864,925
26705250,990,65,415
36159660,114,485,654
569936640,699,980,832
3379776,607,192,29
254427264,468,672,809
274071600,440,810,769
104517952,889,668,176
97750002,294,661,503
574080,416,69,20
3480477,399,143,61
160803840,760,304,696
31037850,554,675,83
264000,704,125,3
222863940,390,954,599
21462780,95,281,804
84193362,678,213,583
147588272,752,487,403
96825400,970,230,434
87159600,355,372,660
82704322,331,271,922
122570140,710,649,266
5461200,410,18,740
5220072,351,26,572
111191220,210,986,537
62477568,393,368,432
40794444,73,722,774
205314728,818,262,958
183994100,950,541,358
5060220,363,20,697
39501056,784,752,67
916350,615,5,298
254723772,428,849,701
47530000,112,875,485
49466880,228,480,452
88611820,646,319,430
67118452,227,383,772
134012928,266,984,512
203980680,802,314,810
2904604,164,89,199
16412,2,11,746
55008640,296,808,230
208349960,520,629,637
58041088,392,224,661
59664495,213,463,605
180575430,665,501,542
7577568,166,317,144
24684000,680,242,150
435994000,820,818,650
299719680,474,640,988
428344200,822,772,675
390969444,898,894,487
60077493,331,387,469
26980800,730,55,672
452493440,940,784,614
189808164,837,637,356
1980072,103,27,712
104694824,211,676,734
105399630,435,641,378
8648640,54,616,260
120442240,614,613,320
4219400,578,100,73
136313640,207,815,808
57619650,150,517,743
331306875,625,783,677
452309991,643,817,861
59042676,777,121,628
31978584,774,939,44
2592519,59,97,453
460846800,852,900,601
28641294,762,67,561
32663860,290,199,566
9652608,399,192,126
2392950,645,371,10
10917270,70,559,279
61496880,258,404,590
228750912,599,459,832
123096960,480,602,426
60728346,531,147,778
420456960,840,869,576
20004664,232,529,163
51726675,825,91,689
52722720,205,608,423
34488000,125,288,958
64171380,511,460,273
1606640,56,95,302
46555200,610,288,265
189705120,589,352,915
613305,315,177,11
12739272,21,614,988
5091544,722,164,43
202369848,674,524,573
2927096,127,134,172
130721850,525,783,318
91750360,884,214,485
56941948,386,257,574
24660860,635,532,73
10221120,416,945,26
12446852,914,22,619
11553630,223,110,471
1933516,19,247,412
28245840,483,86,680
28440286,397,731,98
285969348,981,812,359
16244800,220,104,710
20049120,273,80,918
160192218,482,797,417
7129206,822,177,49
26062190,242,119,905
8961920,880,268,38
108286668,833,138,942
129797325,427,525,579
4135110,98,485,87
2274723,333,253,27
1128771,287,9,437
328170850,809,854,475
762300,275,14,198
205899148,923,434,514
73984680,255,924,314
169447752,941,366,492
403118280,796,662,765
6218096,488,277,46
327608470,581,998,565
1664640,867,960,2
32452608,512,417,152
90737712,906,312,321
216229800,860,867,290
30236448,822,38,968
61381520,74,932,890
181316866,593,782,391
41472894,246,799,211
197820480,524,858,440
159624168,836,242,789
247378878,698,477,743
2158596,506,158,27
96079200,532,200,903
49864920,644,890,87
80325312,608,582,227
10402524,218,99,482
173501708,634,586,467
209483820,980,819,261
537840,120,6,747
3432240,720,681,7
74990286,603,329,378
59644080,521,795,144
3492288,24,258,564
411407082,941,454,963
50483160,910,276,201
123007248,756,273,596
97236450,477,270,755
8583924,492,239,73
269034808,428,761,826
36602132,214,643,266
440237980,878,910,551
1924560,48,55,729
251468064,443,657,864
76329405,255,421,711
85684352,208,884,466
190970901,781,807,303
214170831,817,511,513
22733025,95,795,301
179897718,389,847,546
135113392,712,397,478
17051736,258,124,533
5330640,380,28,501
461160,21,36,610
171484560,394,702,620
544608,992,9,61
54279909,543,261,383
76800636,242,486,653
24118824,164,193,762
288883500,916,725,435
72199680,238,960,316
68542215,215,357,893
12832960,119,160,674
162230040,828,315,622
411424,598,2,344
58648793,119,547,901
152576250,870,575,305
430747632,686,646,972
351936000,940,468,800
330642,9,117,314
4600800,36,600,213
38232810,405,154,613
8080992,398,54,376
17971200,128,195,720
576603720,726,915,868
60869120,472,260,496
130052484,652,599,333
166631604,761,771,284
1256460,2,974,645
96161859,423,463,491
31456512,768,111,369
16460936,278,131,452
1933200,600,9,358
251044080,584,445,966
339981440,608,766,730
5760160,40,148,973
56875000,350,325,500
29293180,71,980,421
384082500,996,625,617
830448,12,474,146
70883220,362,915,214
201019126,418,667,721
105020475,595,861,205
227636224,404,568,992
25437780,489,68,765
10058985,243,85,487
46956448,649,323,224
120608064,436,408,678
47784960,544,488,180
21643248,358,132,458
39657600,540,160,459
246462090,655,434,867
354663504,834,611,696
6835712,338,256,79
56589512,328,503,343
45111046,118,887,431
248355840,768,874,370
7882420,71,182,610
3774784,349,13,832
24174150,70,385,897
13573288,239,248,229
188636528,974,344,563
205532180,587,610,574
158400774,557,333,854
38445009,907,71,597
296046828,627,511,924
210351563,409,839,613
96614910,970,357,279
70695520,940,158,476
9606400,79,400,304
232998168,937,797,312
17237136,87,203,976
177289884,243,978,746
591923280,983,780,772
81033876,161,902,558
237337000,850,607,460
60172216,923,232,281
121784832,214,988,576
71973572,946,218,349
75975376,152,509,982
239385875,379,815,775
135092850,443,642,475
342311904,792,893,484
243200748,269,916,987
37332904,917,56,727
36680067,157,509,459
500478316,821,988,617
58447360,320,316,578
7973850,85,159,590
206180055,645,839,381
2452128,41,534,112
64672080,524,255,484
151776000,930,240,680
